sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
63;DHT22;64;-6.778;39.252;2019-08-07T14:32:50.619293+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T14:32:50.619293+00:00;temperature;28.60
64;SDS011;64;-6.778;39.252;2019-08-07T14:35:22.059281+00:00;P2;4.27
64;SDS011;64;-6.778;39.252;2019-08-07T14:35:22.059281+00:00;P1;24.07
63;DHT22;64;-6.778;39.252;2019-08-07T14:35:23.522777+00:00;humidity;81.60
63;DHT22;64;-6.778;39.252;2019-08-07T14:35:23.522777+00:00;temperature;28.50
64;SDS011;64;-6.778;39.252;2019-08-07T14:37:52.644133+00:00;P2;4.20
64;SDS011;64;-6.778;39.252;2019-08-07T14:37:52.644133+00:00;P1;23.00
63;DHT22;64;-6.778;39.252;2019-08-07T14:37:54.131327+00:00;humidity;81.60
63;DHT22;64;-6.778;39.252;2019-08-07T14:37:54.131327+00:00;temperature;28.50
64;SDS011;64;-6.778;39.252;2019-08-07T14:40:27.274801+00:00;P2;3.50
64;SDS011;64;-6.778;39.252;2019-08-07T14:40:27.274801+00:00;P1;31.03
63;DHT22;64;-6.778;39.252;2019-08-07T14:40:37.376138+00:00;humidity;81.60
63;DHT22;64;-6.778;39.252;2019-08-07T14:40:37.376138+00:00;temperature;28.50
64;SDS011;64;-6.778;39.252;2019-08-07T14:43:07.326956+00:00;P2;3.70
64;SDS011;64;-6.778;39.252;2019-08-07T14:43:07.326956+00:00;P1;20.30
63;DHT22;64;-6.778;39.252;2019-08-07T14:43:09.498604+00:00;humidity;81.60
63;DHT22;64;-6.778;39.252;2019-08-07T14:43:09.498604+00:00;temperature;28.50
64;SDS011;64;-6.778;39.252;2019-08-07T14:45:54.586600+00:00;P2;3.53
64;SDS011;64;-6.778;39.252;2019-08-07T14:45:54.586600+00:00;P1;23.70
63;DHT22;64;-6.778;39.252;2019-08-07T14:45:59.895593+00:00;humidity;81.50
63;DHT22;64;-6.778;39.252;2019-08-07T14:45:59.895593+00:00;temperature;28.40
64;SDS011;64;-6.778;39.252;2019-08-07T14:48:29.002375+00:00;P2;3.90
64;SDS011;64;-6.778;39.252;2019-08-07T14:48:29.002375+00:00;P1;26.40
63;DHT22;64;-6.778;39.252;2019-08-07T14:48:30.636099+00:00;humidity;81.60
63;DHT22;64;-6.778;39.252;2019-08-07T14:48:30.636099+00:00;temperature;28.40
64;SDS011;64;-6.778;39.252;2019-08-07T14:51:01.707069+00:00;P2;4.30
64;SDS011;64;-6.778;39.252;2019-08-07T14:51:01.707069+00:00;P1;21.80
63;DHT22;64;-6.778;39.252;2019-08-07T14:51:03.288356+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T14:51:03.288356+00:00;temperature;28.40
64;SDS011;64;-6.778;39.252;2019-08-07T14:53:34.499349+00:00;P2;2.80
64;SDS011;64;-6.778;39.252;2019-08-07T14:53:34.499349+00:00;P1;20.70
63;DHT22;64;-6.778;39.252;2019-08-07T14:53:37.516393+00:00;humidity;81.60
63;DHT22;64;-6.778;39.252;2019-08-07T14:53:37.516393+00:00;temperature;28.40
64;SDS011;64;-6.778;39.252;2019-08-07T14:56:06.939873+00:00;P2;3.87
64;SDS011;64;-6.778;39.252;2019-08-07T14:56:06.939873+00:00;P1;22.87
63;DHT22;64;-6.778;39.252;2019-08-07T14:56:11.245386+00:00;humidity;81.50
63;DHT22;64;-6.778;39.252;2019-08-07T14:56:11.245386+00:00;temperature;28.30
64;SDS011;64;-6.778;39.252;2019-08-07T14:58:41.006649+00:00;P2;2.90
64;SDS011;64;-6.778;39.252;2019-08-07T14:58:41.006649+00:00;P1;19.50
63;DHT22;64;-6.778;39.252;2019-08-07T14:58:43.899843+00:00;humidity;81.60
63;DHT22;64;-6.778;39.252;2019-08-07T14:58:43.899843+00:00;temperature;28.30
64;SDS011;64;-6.778;39.252;2019-08-07T15:01:18.758415+00:00;P2;3.33
64;SDS011;64;-6.778;39.252;2019-08-07T15:01:18.758415+00:00;P1;21.30
63;DHT22;64;-6.778;39.252;2019-08-07T15:01:21.622158+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T15:01:21.622158+00:00;temperature;28.30
64;SDS011;64;-6.778;39.252;2019-08-07T15:03:49.954786+00:00;P2;3.67
64;SDS011;64;-6.778;39.252;2019-08-07T15:03:49.954786+00:00;P1;15.80
63;DHT22;64;-6.778;39.252;2019-08-07T15:03:51.250146+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T15:03:51.250146+00:00;temperature;28.30
64;SDS011;64;-6.778;39.252;2019-08-07T15:06:28.223470+00:00;P2;3.13
64;SDS011;64;-6.778;39.252;2019-08-07T15:06:28.223470+00:00;P1;18.50
63;DHT22;64;-6.778;39.252;2019-08-07T15:06:34.150699+00:00;humidity;81.80
63;DHT22;64;-6.778;39.252;2019-08-07T15:06:34.150699+00:00;temperature;28.30
64;SDS011;64;-6.778;39.252;2019-08-07T15:09:04.476543+00:00;P2;4.17
64;SDS011;64;-6.778;39.252;2019-08-07T15:09:04.476543+00:00;P1;25.83
63;DHT22;64;-6.778;39.252;2019-08-07T15:09:06.925290+00:00;humidity;81.80
63;DHT22;64;-6.778;39.252;2019-08-07T15:09:06.925290+00:00;temperature;28.30
64;SDS011;64;-6.778;39.252;2019-08-07T15:11:35.479245+00:00;P2;4.77
64;SDS011;64;-6.778;39.252;2019-08-07T15:11:35.479245+00:00;P1;20.60
63;DHT22;64;-6.778;39.252;2019-08-07T15:11:37.038622+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T15:11:37.038622+00:00;temperature;28.30
64;SDS011;64;-6.778;39.252;2019-08-07T15:14:05.825874+00:00;P2;3.93
64;SDS011;64;-6.778;39.252;2019-08-07T15:14:05.825874+00:00;P1;17.47
63;DHT22;64;-6.778;39.252;2019-08-07T15:14:07.166057+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T15:14:07.166057+00:00;temperature;28.30
64;SDS011;64;-6.778;39.252;2019-08-07T15:16:36.958490+00:00;P2;3.83
64;SDS011;64;-6.778;39.252;2019-08-07T15:16:36.958490+00:00;P1;20.80
63;DHT22;64;-6.778;39.252;2019-08-07T15:16:38.322555+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T15:16:38.322555+00:00;temperature;28.30
64;SDS011;64;-6.778;39.252;2019-08-07T15:19:06.541558+00:00;P2;3.53
64;SDS011;64;-6.778;39.252;2019-08-07T15:19:06.541558+00:00;P1;20.23
63;DHT22;64;-6.778;39.252;2019-08-07T15:19:07.764753+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T15:19:07.764753+00:00;temperature;28.30
64;SDS011;64;-6.778;39.252;2019-08-07T15:21:37.370990+00:00;P2;4.47
64;SDS011;64;-6.778;39.252;2019-08-07T15:21:37.370990+00:00;P1;19.10
63;DHT22;64;-6.778;39.252;2019-08-07T15:21:39.469994+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T15:21:39.469994+00:00;temperature;28.20
64;SDS011;64;-6.778;39.252;2019-08-07T15:24:10.755065+00:00;P2;4.07
64;SDS011;64;-6.778;39.252;2019-08-07T15:24:10.755065+00:00;P1;28.17
63;DHT22;64;-6.778;39.252;2019-08-07T15:24:13.873530+00:00;humidity;81.60
63;DHT22;64;-6.778;39.252;2019-08-07T15:24:13.873530+00:00;temperature;28.20
64;SDS011;64;-6.778;39.252;2019-08-07T15:26:43.705093+00:00;P2;4.43
64;SDS011;64;-6.778;39.252;2019-08-07T15:26:43.705093+00:00;P1;21.53
63;DHT22;64;-6.778;39.252;2019-08-07T15:26:47.208496+00:00;humidity;81.60
63;DHT22;64;-6.778;39.252;2019-08-07T15:26:47.208496+00:00;temperature;28.20
64;SDS011;64;-6.778;39.252;2019-08-07T15:29:20.075280+00:00;P2;4.73
64;SDS011;64;-6.778;39.252;2019-08-07T15:29:20.075280+00:00;P1;22.43
63;DHT22;64;-6.778;39.252;2019-08-07T15:29:21.394697+00:00;humidity;81.80
63;DHT22;64;-6.778;39.252;2019-08-07T15:29:21.394697+00:00;temperature;28.20
64;SDS011;64;-6.778;39.252;2019-08-07T15:31:49.691775+00:00;P2;4.90
64;SDS011;64;-6.778;39.252;2019-08-07T15:31:49.691775+00:00;P1;22.87
63;DHT22;64;-6.778;39.252;2019-08-07T15:31:50.959548+00:00;humidity;81.80
63;DHT22;64;-6.778;39.252;2019-08-07T15:31:50.959548+00:00;temperature;28.20
64;SDS011;64;-6.778;39.252;2019-08-07T15:34:19.326407+00:00;P2;4.50
64;SDS011;64;-6.778;39.252;2019-08-07T15:34:19.326407+00:00;P1;22.70
63;DHT22;64;-6.778;39.252;2019-08-07T15:34:20.624118+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T15:34:20.624118+00:00;temperature;28.20
64;SDS011;64;-6.778;39.252;2019-08-07T15:36:49.317875+00:00;P2;4.07
64;SDS011;64;-6.778;39.252;2019-08-07T15:36:49.317875+00:00;P1;25.20
63;DHT22;64;-6.778;39.252;2019-08-07T15:36:51.389540+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T15:36:51.389540+00:00;temperature;28.20
64;SDS011;64;-6.778;39.252;2019-08-07T15:39:19.585421+00:00;P2;4.47
64;SDS011;64;-6.778;39.252;2019-08-07T15:39:19.585421+00:00;P1;33.50
63;DHT22;64;-6.778;39.252;2019-08-07T15:39:20.955765+00:00;humidity;81.60
