sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
31;SDS011;23;-6.913;39.290;2018-07-01T00:46:17.135904+00:00;P1;10.23
32;DHT22;23;-6.913;39.290;2018-07-01T00:46:18.843654+00:00;humidity;81.00
32;DHT22;23;-6.913;39.290;2018-07-01T00:46:18.843654+00:00;temperature;26.70
31;SDS011;23;-6.913;39.290;2018-07-01T00:48:54.709565+00:00;P2;6.30
31;SDS011;23;-6.913;39.290;2018-07-01T00:48:54.709565+00:00;P1;10.93
32;DHT22;23;-6.913;39.290;2018-07-01T00:48:56.248417+00:00;humidity;80.90
32;DHT22;23;-6.913;39.290;2018-07-01T00:48:56.248417+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T00:51:32.117689+00:00;P2;5.50
31;SDS011;23;-6.913;39.290;2018-07-01T00:51:32.117689+00:00;P1;9.13
32;DHT22;23;-6.913;39.290;2018-07-01T00:51:33.721745+00:00;humidity;81.10
32;DHT22;23;-6.913;39.290;2018-07-01T00:51:33.721745+00:00;temperature;26.70
31;SDS011;23;-6.913;39.290;2018-07-01T00:54:09.812666+00:00;P2;5.97
31;SDS011;23;-6.913;39.290;2018-07-01T00:54:09.812666+00:00;P1;17.50
32;DHT22;23;-6.913;39.290;2018-07-01T00:54:11.325314+00:00;humidity;81.00
32;DHT22;23;-6.913;39.290;2018-07-01T00:54:11.325314+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T00:56:47.303016+00:00;P2;6.33
31;SDS011;23;-6.913;39.290;2018-07-01T00:56:47.303016+00:00;P1;13.67
32;DHT22;23;-6.913;39.290;2018-07-01T00:56:48.907947+00:00;humidity;81.70
32;DHT22;23;-6.913;39.290;2018-07-01T00:56:48.907947+00:00;temperature;26.70
31;SDS011;23;-6.913;39.290;2018-07-01T00:59:25.004009+00:00;P2;5.90
31;SDS011;23;-6.913;39.290;2018-07-01T00:59:25.004009+00:00;P1;14.93
32;DHT22;23;-6.913;39.290;2018-07-01T00:59:26.580433+00:00;humidity;81.10
32;DHT22;23;-6.913;39.290;2018-07-01T00:59:26.580433+00:00;temperature;26.70
31;SDS011;23;-6.913;39.290;2018-07-01T01:02:02.399354+00:00;P2;5.43
31;SDS011;23;-6.913;39.290;2018-07-01T01:02:02.399354+00:00;P1;14.13
32;DHT22;23;-6.913;39.290;2018-07-01T01:02:03.899035+00:00;humidity;81.20
32;DHT22;23;-6.913;39.290;2018-07-01T01:02:03.899035+00:00;temperature;26.70
31;SDS011;23;-6.913;39.290;2018-07-01T01:04:40.282318+00:00;P2;6.67
31;SDS011;23;-6.913;39.290;2018-07-01T01:04:40.282318+00:00;P1;21.07
32;DHT22;23;-6.913;39.290;2018-07-01T01:04:41.792721+00:00;humidity;81.00
32;DHT22;23;-6.913;39.290;2018-07-01T01:04:41.792721+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T01:07:17.772832+00:00;P2;6.00
31;SDS011;23;-6.913;39.290;2018-07-01T01:07:17.772832+00:00;P1;12.20
32;DHT22;23;-6.913;39.290;2018-07-01T01:07:19.299069+00:00;humidity;81.00
32;DHT22;23;-6.913;39.290;2018-07-01T01:07:19.299069+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T01:09:55.377550+00:00;P2;5.87
31;SDS011;23;-6.913;39.290;2018-07-01T01:09:55.377550+00:00;P1;17.63
32;DHT22;23;-6.913;39.290;2018-07-01T01:09:56.976496+00:00;humidity;80.90
32;DHT22;23;-6.913;39.290;2018-07-01T01:09:56.976496+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T01:12:33.076439+00:00;P2;6.13
31;SDS011;23;-6.913;39.290;2018-07-01T01:12:33.076439+00:00;P1;17.53
32;DHT22;23;-6.913;39.290;2018-07-01T01:12:34.539740+00:00;humidity;81.00
32;DHT22;23;-6.913;39.290;2018-07-01T01:12:34.539740+00:00;temperature;26.70
31;SDS011;23;-6.913;39.290;2018-07-01T01:15:10.855263+00:00;P2;6.43
31;SDS011;23;-6.913;39.290;2018-07-01T01:15:10.855263+00:00;P1;15.77
32;DHT22;23;-6.913;39.290;2018-07-01T01:15:12.340286+00:00;humidity;81.00
32;DHT22;23;-6.913;39.290;2018-07-01T01:15:12.340286+00:00;temperature;26.70
31;SDS011;23;-6.913;39.290;2018-07-01T01:17:48.149281+00:00;P2;5.77
31;SDS011;23;-6.913;39.290;2018-07-01T01:17:48.149281+00:00;P1;11.63
32;DHT22;23;-6.913;39.290;2018-07-01T01:17:49.653700+00:00;humidity;81.00
32;DHT22;23;-6.913;39.290;2018-07-01T01:17:49.653700+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T01:20:25.531121+00:00;P2;4.50
31;SDS011;23;-6.913;39.290;2018-07-01T01:20:25.531121+00:00;P1;7.63
32;DHT22;23;-6.913;39.290;2018-07-01T01:20:27.148479+00:00;humidity;80.90
32;DHT22;23;-6.913;39.290;2018-07-01T01:20:27.148479+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T01:23:03.014849+00:00;P2;6.67
31;SDS011;23;-6.913;39.290;2018-07-01T01:23:03.014849+00:00;P1;12.30
32;DHT22;23;-6.913;39.290;2018-07-01T01:23:04.461985+00:00;humidity;80.90
32;DHT22;23;-6.913;39.290;2018-07-01T01:23:04.461985+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T01:25:40.696364+00:00;P2;5.07
31;SDS011;23;-6.913;39.290;2018-07-01T01:25:40.696364+00:00;P1;11.30
32;DHT22;23;-6.913;39.290;2018-07-01T01:25:42.229249+00:00;humidity;80.90
32;DHT22;23;-6.913;39.290;2018-07-01T01:25:42.229249+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T01:28:18.085224+00:00;P2;5.67
31;SDS011;23;-6.913;39.290;2018-07-01T01:28:18.085224+00:00;P1;11.27
32;DHT22;23;-6.913;39.290;2018-07-01T01:28:19.452353+00:00;humidity;80.90
32;DHT22;23;-6.913;39.290;2018-07-01T01:28:19.452353+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T01:30:55.495259+00:00;P2;6.63
31;SDS011;23;-6.913;39.290;2018-07-01T01:30:55.495259+00:00;P1;17.37
32;DHT22;23;-6.913;39.290;2018-07-01T01:30:57.006116+00:00;humidity;80.90
32;DHT22;23;-6.913;39.290;2018-07-01T01:30:57.006116+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T01:33:32.780987+00:00;P2;4.90
31;SDS011;23;-6.913;39.290;2018-07-01T01:33:32.780987+00:00;P1;15.73
32;DHT22;23;-6.913;39.290;2018-07-01T01:33:34.370595+00:00;humidity;81.00
32;DHT22;23;-6.913;39.290;2018-07-01T01:33:34.370595+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T01:36:11.613530+00:00;P2;5.63
31;SDS011;23;-6.913;39.290;2018-07-01T01:36:11.613530+00:00;P1;15.47
32;DHT22;23;-6.913;39.290;2018-07-01T01:36:13.029531+00:00;humidity;80.90
32;DHT22;23;-6.913;39.290;2018-07-01T01:36:13.029531+00:00;temperature;26.60
